"<5.45 23:36:55> [START_TIMER] 1#114#120", -- [1]
"<232.50 23:40:42> [UPDATE_UI_WIDGET] widgetID:2032, widgetType:4, widgetSetID:249", -- [189]
"<233.25 23:40:42> [UPDATE_UI_WIDGET] widgetID:521, widgetType:1, widgetSetID:2", -- [190]
"<233.93 23:40:43> [UPDATE_UI_WIDGET] widgetID:521, widgetType:1, widgetSetID:2", -- [191]
"<234.47 23:40:44> [UPDATE_UI_WIDGET] widgetID:521, widgetType:1, widgetSetID:2", -- [192]
"<234.51 23:40:44> [UPDATE_UI_WIDGET] widgetID:2031, widgetType:4, widgetSetID:249", -- [194]
"<234.51 23:40:44> [UPDATE_UI_WIDGET] widgetID:2032, widgetType:4, widgetSetID:249", -- [196]
"<235.69 23:40:45> [UPDATE_UI_WIDGET] widgetID:521, widgetType:1, widgetSetID:2", -- [197]
"<236.53 23:40:46> [UPDATE_UI_WIDGET] widgetID:2031, widgetType:4, widgetSetID:249", -- [199]
"<236.53 23:40:46> [UPDATE_UI_WIDGET] widgetID:2032, widgetType:4, widgetSetID:249", -- [201]
"<236.91 23:40:46> [UPDATE_UI_WIDGET] widgetID:521, widgetType:1, widgetSetID:2", -- [202]
"<238.12 23:40:47> [UPDATE_UI_WIDGET] widgetID:521, widgetType:1, widgetSetID:2", -- [203]
"<238.54 23:40:48> [UPDATE_UI_WIDGET] widgetID:2031, widgetType:4, widgetSetID:249", -- [205]
"<238.54 23:40:48> [UPDATE_UI_WIDGET] widgetID:2032, widgetType:4, widgetSetID:249", -- [207]
"<240.58 23:40:50> [UPDATE_UI_WIDGET] widgetID:2031, widgetType:4, widgetSetID:249", -- [209]
"<240.58 23:40:50> [UPDATE_UI_WIDGET] widgetID:2032, widgetType:4, widgetSetID:249", -- [211]
"<242.59 23:40:52> [UPDATE_UI_WIDGET] widgetID:2031, widgetType:4, widgetSetID:249", -- [213]
"<242.59 23:40:52> [UPDATE_UI_WIDGET] widgetID:2032, widgetType:4, widgetSetID:249", -- [215]
"<244.60 23:40:54> [UPDATE_UI_WIDGET] widgetID:2031, widgetType:4, widgetSetID:249", -- [217]
"<244.60 23:40:54> [UPDATE_UI_WIDGET] widgetID:2032, widgetType:4, widgetSetID:249", -- [219]
"<246.62 23:40:56> [UPDATE_UI_WIDGET] widgetID:2031, widgetType:4, widgetSetID:249", -- [221]
"<246.62 23:40:56> [UPDATE_UI_WIDGET] widgetID:2032, widgetType:4, widgetSetID:249", -- [223]
"<248.63 23:40:58> [UPDATE_UI_WIDGET] widgetID:2031, widgetType:4, widgetSetID:249", -- [225]
"<248.63 23:40:58> [UPDATE_UI_WIDGET] widgetID:2032, widgetType:4, widgetSetID:249", -- [227]
"<250.62 23:41:00> [UPDATE_UI_WIDGET] widgetID:2031, widgetType:4, widgetSetID:249", -- [229]
"<250.62 23:41:00> [UPDATE_UI_WIDGET] widgetID:2032, widgetType:4, widgetSetID:249", -- [231]
"<252.64 23:41:02> [UPDATE_UI_WIDGET] widgetID:2031, widgetType:4, widgetSetID:249", -- [233]
"<252.64 23:41:02> [UPDATE_UI_WIDGET] widgetID:2032, widgetType:4, widgetSetID:249", -- [235]
"<254.67 23:41:04> [UPDATE_UI_WIDGET] widgetID:2031, widgetType:4, widgetSetID:249", -- [237]
"<254.67 23:41:04> [UPDATE_UI_WIDGET] widgetID:2032, widgetType:4, widgetSetID:249", -- [239]
"<256.69 23:41:06> [UPDATE_UI_WIDGET] widgetID:2031, widgetType:4, widgetSetID:249", -- [241]
"<256.70 23:41:06> [UPDATE_UI_WIDGET] widgetID:2032, widgetType:4, widgetSetID:249", -- [243]
"<258.73 23:41:08> [UPDATE_UI_WIDGET] widgetID:2031, widgetType:4, widgetSetID:249", -- [245]
"<258.73 23:41:08> [UPDATE_UI_WIDGET] widgetID:2032, widgetType:4, widgetSetID:249", -- [247]
"<260.74 23:41:10> [UPDATE_UI_WIDGET] widgetID:2031, widgetType:4, widgetSetID:249", -- [249]
"<260.74 23:41:10> [UPDATE_UI_WIDGET] widgetID:2032, widgetType:4, widgetSetID:249", -- [251]
"<262.77 23:41:12> [UPDATE_UI_WIDGET] widgetID:2031, widgetType:4, widgetSetID:249", -- [253]
"<262.77 23:41:12> [UPDATE_UI_WIDGET] widgetID:2032, widgetType:4, widgetSetID:249", -- [255]
"<262.82 23:41:12> [UPDATE_UI_WIDGET] widgetID:1672, widgetType:14, widgetSetID:1", -- [256]
